current_name,pre_nomos,pre_dimos
ΝΙΚΟΤΣΑΡΑΣ,ΔΡΑΜΑΣ,ΝΙΚΟΤΣΑΡΑΣ
ΣΙΔΗΡΟΝΕΡΟΥ,ΔΡΑΜΑΣ,ΣΙΔΗΡΟΝΕΡΟΥ
ΣΚΑΛΩΤΗΣ,ΔΡΑΜΑΣ,ΣΚΑΛΩΤΗΣ
ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΡΑΜΑΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
ΑΧΛΑΔΕΑΣ,ΔΡΑΜΑΣ,ΑΧΛΑΔΕΑΣ
ΒΑΘΥΤΟΠΟΥ,ΔΡΑΜΑΣ,ΒΑΘΥΤΟΠΟΥ
ΒΩΛΑΚΟΣ,ΔΡΑΜΑΣ,ΒΩΛΑΚΟΣ
ΓΡΑΝΙΤΟΥ,ΔΡΑΜΑΣ,ΓΡΑΝΙΤΟΥ
ΔΑΣΩΤΟΥ,ΔΡΑΜΑΣ,ΔΑΣΩΤΟΥ
ΕΞΟΧΗΣ,ΔΡΑΜΑΣ,ΕΞΟΧΗΣ
ΚΑΤΑΦΥΤΟΥ,ΔΡΑΜΑΣ,ΚΑΤΑΦΥΤΟΥ
ΚΑΤΩ ΒΡΟΝΤΟΥΣ,ΔΡΑΜΑΣ,ΚΑΤΩ ΒΡΟΝΤΟΥΣ
ΛΕΥΚΟΓΕΙΩΝ,ΔΡΑΜΑΣ,ΛΕΥΚΟΓΕΙΩΝ
ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ,ΔΡΑΜΑΣ,ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ
ΜΙΚΡΟΜΗΛΕΑΣ,ΔΡΑΜΑΣ,ΜΙΚΡΟΜΗΛΕΑΣ
ΟΧΥΡΟΥ,ΔΡΑΜΑΣ,ΟΧΥΡΟΥ
ΠΑΓΟΝΕΡΙΟΥ,ΔΡΑΜΑΣ,ΠΑΓΟΝΕΡΙΟΥ
ΠΕΡΙΘΩΡΙΟΥ,ΔΡΑΜΑΣ,ΠΕΡΙΘΩΡΙΟΥ
ΠΟΤΑΜΩΝ,ΔΡΑΜΑΣ,ΠΟΤΑΜΩΝ
ΧΡΥΣΟΚΕΦΑΛΟΥ,ΔΡΑΜΑΣ,ΧΡΥΣΟΚΕΦΑΛΟΥ
ΑΔΡΙΑΝΗΣ,ΔΡΑΜΑΣ,ΑΔΡΙΑΝΗΣ
ΑΝΩ ΠΥΞΑΡΙΟΥ,ΔΡΑΜΑΣ,ΑΝΩ ΠΥΞΑΡΙΟΥ
ΝΙΚΗΦΟΡΟΥ,ΔΡΑΜΑΣ,ΝΙΚΗΦΟΡΟΥ
ΠΛΑΤΑΝΙΑΣ,ΔΡΑΜΑΣ,ΠΛΑΤΑΝΙΑΣ
ΠΛΑΤΑΝΟΒΡΥΣΗΣ,ΔΡΑΜΑΣ,ΠΛΑΤΑΝΟΒΡΥΣΗΣ
ΠΤΕΛΕΑΣ ΠΛΑΤΑΝΙΑΣ,ΔΡΑΜΑΣ,ΠΤΕΛΕΑΣ ΠΛΑΤΑΝΙΑΣ
ΥΨΗΛΗΣ ΡΑΧΗΣ,ΔΡΑΜΑΣ,ΥΨΗΛΗΣ ΡΑΧΗΣ
ΘΟΛΟΥ,ΔΡΑΜΑΣ,ΘΟΛΟΥ
ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,ΠΑΡΑΝΕΣΤΙΟΥ
ΣΙΛΗΣ,ΔΡΑΜΑΣ,ΣΙΛΗΣ
ΠΕΤΡΟΥΣΣΗΣ,ΔΡΑΜΑΣ,ΠΕΤΡΟΥΣΣΗΣ
ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,ΠΡΟΣΟΤΣΑΝΗΣ
ΑΝΘΟΧΩΡΙΟΥ,ΔΡΑΜΑΣ,ΑΝΘΟΧΩΡΙΟΥ
ΓΡΑΜΜΕΝΗΣ,ΔΡΑΜΑΣ,ΓΡΑΜΜΕΝΗΣ
ΚΑΛΗΣ ΒΡΥΣΗΣ,ΔΡΑΜΑΣ,ΚΑΛΗΣ ΒΡΥΣΗΣ
ΚΑΛΛΙΘΕΑΣ,ΔΡΑΜΑΣ,ΚΑΛΛΙΘΕΑΣ
ΚΟΚΚΙΝΟΓΕΙΩΝ,ΔΡΑΜΑΣ,ΚΟΚΚΙΝΟΓΕΙΩΝ
ΜΙΚΡΟΠΟΛΕΩΣ,ΔΡΑΜΑΣ,ΜΙΚΡΟΠΟΛΕΩΣ
ΠΑΝΟΡΑΜΑΤΟΣ,ΔΡΑΜΑΣ,ΠΑΝΟΡΑΜΑΤΟΣ
ΠΥΡΓΩΝ,ΔΡΑΜΑΣ,ΠΥΡΓΩΝ
ΧΑΡΙΤΩΜΕΝΗΣ,ΔΡΑΜΑΣ,ΧΑΡΙΤΩΜΕΝΗΣ
ΑΡΓΥΡΟΥΠΟΛΙΣ,ΔΡΑΜΑΣ,ΑΡΓΥΡΟΥΠΟΛΙΣ
ΜΑΥΡΟΛΕΥΚΗΣ,ΔΡΑΜΑΣ,ΜΑΥΡΟΛΕΥΚΗΣ
ΜΕΓΑΛΟΚΑΜΠΟΥ,ΔΡΑΜΑΣ,ΜΕΓΑΛΟΚΑΜΠΟΥ
ΜΙΚΡΟΚΑΜΠΟΥ,ΔΡΑΜΑΣ,ΜΙΚΡΟΚΑΜΠΟΥ
ΠΕΡΙΧΩΡΑΣ,ΔΡΑΜΑΣ,ΠΕΡΙΧΩΡΑΣ
ΣΙΤΑΓΡΩΝ,ΔΡΑΜΑΣ,ΣΙΤΑΓΡΩΝ
ΦΩΤΟΛΙΒΟΥΣ,ΔΡΑΜΑΣ,ΦΩΤΟΛΙΒΟΥΣ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
ΑΒΑΝΤΟΣ,ΕΒΡΟΥ,ΑΒΑΝΤΟΣ
ΑΙΣΥΜΗΣ,ΕΒΡΟΥ,ΑΙΣΥΜΗΣ
ΚΙΡΚΗΣ,ΕΒΡΟΥ,ΚΙΡΚΗΣ
ΜΑΚΡΗΣ,ΕΒΡΟΥ,ΜΑΚΡΗΣ
ΣΥΚΟΡΡΑΧΗΣ,ΕΒΡΟΥ,ΣΥΚΟΡΡΑΧΗΣ
ΑΝΘΕΙΑΣ,ΕΒΡΟΥ,ΑΝΘΕΙΑΣ
ΔΩΡΙΚΟΥ,ΕΒΡΟΥ,ΔΩΡΙΚΟΥ
ΛΟΥΤΡΟΥ,ΕΒΡΟΥ,ΛΟΥΤΡΟΥ
ΝΙΨΗΣ,ΕΒΡΟΥ,ΝΙΨΗΣ
ΠΕΠΛΟΥ,ΕΒΡΟΥ,ΠΕΠΛΟΥ
ΦΕΡΩΝ,ΕΒΡΟΥ,ΦΕΡΩΝ
ΑΡΔΑΝΙΟΥ,ΕΒΡΟΥ,ΑΡΔΑΝΙΟΥ
ΔΟΡΙΣΚΟΥ,ΕΒΡΟΥ,ΔΟΡΙΣΚΟΥ
ΚΑΒΗΣΟΥ,ΕΒΡΟΥ,ΚΑΒΗΣΟΥ
ΠΥΛΑΙΑΣ,ΕΒΡΟΥ,ΠΥΛΑΙΑΣ
ΤΡΙΦΥΛΛΙΟΥ,ΕΒΡΟΥ,ΤΡΙΦΥΛΛΙΟΥ
ΔΙΔΥΜΟΤΕΙΧΟΥ,ΕΒΡΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ
ΕΛΛΗΝΟΧΩΡΙΟΥ,ΕΒΡΟΥ,ΕΛΛΗΝΟΧΩΡΙΟΥ
ΑΣΒΕΣΤΑΔΩΝ,ΕΒΡΟΥ,ΑΣΒΕΣΤΑΔΩΝ
ΑΣΗΜΕΝΙΟΥ,ΕΒΡΟΥ,ΑΣΗΜΕΝΙΟΥ
ΙΣΑΑΚΙΟΥ,ΕΒΡΟΥ,ΙΣΑΑΚΙΟΥ
ΚΑΡΩΤΗΣ,ΕΒΡΟΥ,ΚΑΡΩΤΗΣ
ΚΟΥΦΟΒΟΥΝΟΥ,ΕΒΡΟΥ,ΚΟΥΦΟΒΟΥΝΟΥ
ΚΥΑΝΗΣ,ΕΒΡΟΥ,ΚΥΑΝΗΣ
ΜΑΝΗΣ,ΕΒΡΟΥ,ΜΑΝΗΣ
ΠΕΤΡΑΔΩΝ,ΕΒΡΟΥ,ΠΕΤΡΑΔΩΝ
ΠΟΙΜΕΝΙΚΟΥ,ΕΒΡΟΥ,ΠΟΙΜΕΝΙΚΟΥ
ΠΡΑΓΓΙΟΥ,ΕΒΡΟΥ,ΠΡΑΓΓΙΟΥ
ΠΥΘΙΟΥ,ΕΒΡΟΥ,ΠΥΘΙΟΥ
ΣΙΤΟΧΩΡΙΟΥ,ΕΒΡΟΥ,ΣΙΤΟΧΩΡΙΟΥ
ΣΟΦΙΚΟ,ΕΒΡΟΥ,ΣΟΦΙΚΟ
ΑΛΕΠΟΧΩΡΙΟΥ,ΕΒΡΟΥ,ΑΛΕΠΟΧΩΡΙΟΥ
ΑΣΠΡΟΝΕΡΙΟΥ,ΕΒΡΟΥ,ΑΣΠΡΟΝΕΡΙΟΥ
ΒΡΥΣΙΚΩΝ,ΕΒΡΟΥ,ΒΡΥΣΙΚΩΝ
ΔΟΞΗΣ,ΕΒΡΟΥ,ΔΟΞΗΣ
ΕΛΑΦΟΧΩΡΙΟΥ,ΕΒΡΟΥ,ΕΛΑΦΟΧΩΡΙΟΥ
ΛΑΔΗΣ,ΕΒΡΟΥ,ΛΑΔΗΣ
ΜΕΤΑΞΑΔΩΝ,ΕΒΡΟΥ,ΜΕΤΑΞΑΔΩΝ
ΠΑΛΙΟΥΡΙΟΥ,ΕΒΡΟΥ,ΠΑΛΙΟΥΡΙΟΥ
ΝΕΑΣ ΒΥΣΣΗΣ,ΕΒΡΟΥ,ΝΕΑΣ ΒΥΣΣΗΣ
ΚΑΒΥΛΗΣ,ΕΒΡΟΥ,ΚΑΒΥΛΗΣ
ΚΑΣΤΑΝΕΩΝ,ΕΒΡΟΥ,ΚΑΣΤΑΝΕΩΝ
ΡΙΖΙΩΝ,ΕΒΡΟΥ,ΡΙΖΙΩΝ
ΣΤΕΡΝΑΣ,ΕΒΡΟΥ,ΣΤΕΡΝΑΣ
ΓΑΛΗΝΗ,ΕΒΡΟΥ,ΓΑΛΗΝΗ
ΖΩΝΗΣ,ΕΒΡΟΥ,ΖΩΝΗΣ
ΚΥΠΡΙΝΟΣ,ΕΒΡΟΥ,ΚΥΠΡΙΝΟΣ
ΦΥΛΑΚΙΟΥ,ΕΒΡΟΥ,ΦΥΛΑΚΙΟΥ
ΟΡΕΣΤΙΑΔΟΣ,ΕΒΡΟΥ,ΟΡΕΣΤΙΑΔΟΣ
ΑΜΠΕΛΑΚΙΩΝ,ΕΒΡΟΥ,ΑΜΠΕΛΑΚΙΩΝ
ΒΑΛΤΟΥ,ΕΒΡΟΥ,ΒΑΛΤΟΥ
ΘΟΥΡΙΟ,ΕΒΡΟΥ,ΘΟΥΡΙΟ
ΜΕΓΑΛΗΣ ΔΟΞΙΠΑΡΑΣ,ΕΒΡΟΥ,ΜΕΓΑΛΗΣ ΔΟΞΙΠΑΡΑΣ
ΝΕΟΥ ΧΕΙΜΩΝΙΟΥ,ΕΒΡΟΥ,ΝΕΟΥ ΧΕΙΜΩΝΙΟΥ
ΝΕΟΧΩΡΙΟΥ,ΕΒΡΟΥ,ΝΕΟΧΩΡΙΟΥ
ΧΑΝΔΡΑ,ΕΒΡΟΥ,ΧΑΝΔΡΑ
ΑΡΖΟΥ,ΕΒΡΟΥ,ΑΡΖΟΥ
ΔΙΚΑΙΩΝ,ΕΒΡΟΥ,ΔΙΚΑΙΩΝ
ΕΛΑΙΑΣ,ΕΒΡΟΥ,ΕΛΑΙΑΣ
ΘΕΡΑΠΕΙΟ,ΕΒΡΟΥ,ΘΕΡΑΠΕΙΟ
ΚΟΜΑΡΩΝ,ΕΒΡΟΥ,ΚΟΜΑΡΩΝ
ΜΑΡΑΣΙΩΝ,ΕΒΡΟΥ,ΜΑΡΑΣΙΩΝ
ΜΗΛΕΑ,ΕΒΡΟΥ,ΜΗΛΕΑ
ΟΡΜΕΝΙΟΥ,ΕΒΡΟΥ,ΟΡΜΕΝΙΟΥ
ΠΕΝΤΑΛΟΦΟΥ,ΕΒΡΟΥ,ΠΕΝΤΑΛΟΦΟΥ
ΠΕΤΡΩΤΩΝ,ΕΒΡΟΥ,ΠΕΤΡΩΤΩΝ
ΠΛΑΤΗΣ,ΕΒΡΟΥ,ΠΛΑΤΗΣ
ΠΤΕΛΕΑΣ,ΕΒΡΟΥ,ΠΤΕΛΕΑΣ
ΣΠΗΛΑΙΟΥ,ΕΒΡΟΥ,ΣΠΗΛΑΙΟΥ
ΣΑΜΟΘΡΑΚΗΣ,ΕΒΡΟΥ,ΣΑΜΟΘΡΑΚΗΣ
ΜΙΚΡΟΥ ΔΕΡΕΙΟΥ,ΕΒΡΟΥ,ΜΙΚΡΟΥ ΔΕΡΕΙΟΥ
ΑΜΟΡΙΟΥ,ΕΒΡΟΥ,ΑΜΟΡΙΟΥ
ΚΥΡΙΑΚΗΣ,ΕΒΡΟΥ,ΚΥΡΙΑΚΗΣ
ΛΑΒΑΡΩΝ,ΕΒΡΟΥ,ΛΑΒΑΡΩΝ
ΜΑΝΔΡΑΣ,ΕΒΡΟΥ,ΜΑΝΔΡΑΣ
ΜΑΥΡΟΚΚΛΗΣΙΟΥ,ΕΒΡΟΥ,ΜΑΥΡΟΚΚΛΗΣΙΟΥ
ΠΡΩΤΟΚΚΛΗΣΙΟΥ,ΕΒΡΟΥ,ΠΡΩΤΟΚΚΛΗΣΙΟΥ
ΣΟΥΦΛΙΟΥ,ΕΒΡΟΥ,ΣΟΥΦΛΙΟΥ
ΔΑΔΙΑΣ,ΕΒΡΟΥ,ΔΑΔΙΑΣ
ΚΟΡΝΟΦΩΛΕΑΣ,ΕΒΡΟΥ,ΚΟΡΝΟΦΩΛΕΑΣ
ΛΑΓΥΝΩΝ,ΕΒΡΟΥ,ΛΑΓΥΝΩΝ
ΛΥΚΟΦΩΤΟΣ,ΕΒΡΟΥ,ΛΥΚΟΦΩΤΟΣ
ΤΥΧΕΡΟΥ,ΕΒΡΟΥ,ΤΥΧΕΡΟΥ
ΛΕΥΚΙΜΜΗΣ,ΕΒΡΟΥ,ΛΕΥΚΙΜΜΗΣ
ΛΥΡΑΣ,ΕΒΡΟΥ,ΛΥΡΑΣ
ΠΡΟΒΑΤΩΝΟΣ,ΕΒΡΟΥ,ΠΡΟΒΑΤΩΝΟΣ
ΦΥΛΑΚΤΟΥ,ΕΒΡΟΥ,ΦΥΛΑΚΤΟΥ
ΘΑΣΟΥ,ΚΑΒΑΛΑΣ,ΘΑΣΟΥ
ΘΕΟΛΟΓΟΥ,ΚΑΒΑΛΑΣ,ΘΕΟΛΟΓΟΥ
ΚΑΛΛΙΡΑΧΗΣ,ΚΑΒΑΛΑΣ,ΚΑΛΛΙΡΑΧΗΣ
ΛΙΜΕΝΑΡΙΩΝ,ΚΑΒΑΛΑΣ,ΛΙΜΕΝΑΡΙΩΝ
ΠΟΤΑΜΙΑΣ,ΚΑΒΑΛΑΣ,ΠΟΤΑΜΙΑΣ
ΠΡΙΝΟΥ,ΚΑΒΑΛΑΣ,ΠΡΙΝΟΥ
ΜΑΡΙΩΝ,ΚΑΒΑΛΑΣ,ΜΑΡΙΩΝ
ΠΑΝΑΓΙΑΣ,ΚΑΒΑΛΑΣ,ΠΑΝΑΓΙΑΣ
ΡΑΧΩΝΙΟΥ,ΚΑΒΑΛΑΣ,ΡΑΧΩΝΙΟΥ
ΣΩΤΗΡΟΣ,ΚΑΒΑΛΑΣ,ΣΩΤΗΡΟΣ
ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ
ΝΕΑΣ ΚΑΡΒΑΛΗΣ,ΚΑΒΑΛΑΣ,ΝΕΑΣ ΚΑΡΒΑΛΗΣ
ΧΑΛΚΕΡΟΥ,ΚΑΒΑΛΑΣ,ΧΑΛΚΕΡΟΥ
ΖΥΓΟΥ,ΚΑΒΑΛΑΣ,ΖΥΓΟΥ
ΚΡΗΝΙΔΩΝ,ΚΑΒΑΛΑΣ,ΚΡΗΝΙΔΩΝ
ΑΜΥΓΔΑΛΕΩΝΟΣ,ΚΑΒΑΛΑΣ,ΑΜΥΓΔΑΛΕΩΝΟΣ
ΚΟΡΥΦΩΝ,ΚΑΒΑΛΑΣ,ΚΟΡΥΦΩΝ
ΚΡΥΟΝΕΡΙΟΥ,ΚΑΒΑΛΑΣ,ΚΡΥΟΝΕΡΙΟΥ
ΛΙΜΝΙΩΝ,ΚΑΒΑΛΑΣ,ΛΙΜΝΙΩΝ
ΛΥΔΙΑΣ,ΚΑΒΑΛΑΣ,ΛΥΔΙΑΣ
ΠΑΛΑΙΑΣ ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,ΠΑΛΑΙΑΣ ΚΑΒΑΛΑΣ
ΠΟΛΥΝΕΡΟΥ,ΚΑΒΑΛΑΣ,ΠΟΛΥΝΕΡΟΥ
ΠΟΛΥΣΤΥΛΟΥ,ΚΑΒΑΛΑΣ,ΠΟΛΥΣΤΥΛΟΥ
ΦΙΛΙΠΠΩΝ,ΚΑΒΑΛΑΣ,ΦΙΛΙΠΠΩΝ
ΚΕΡΑΜΩΤΗΣ,ΚΑΒΑΛΑΣ,ΚΕΡΑΜΩΤΗΣ
ΑΓΙΑΣΜΑΤΟΣ,ΚΑΒΑΛΑΣ,ΑΓΙΑΣΜΑΤΟΣ
ΝΕΑΣ ΚΑΡΥΑΣ,ΚΑΒΑΛΑΣ,ΝΕΑΣ ΚΑΡΥΑΣ
ΠΗΓΩΝ,ΚΑΒΑΛΑΣ,ΠΗΓΩΝ
ΑΓΙΟΥ ΚΟΣΜΑ,ΚΑΒΑΛΑΣ,ΑΓΙΟΥ ΚΟΣΜΑ
ΔΙΠΟΤΑΜΟΥ,ΚΑΒΑΛΑΣ,ΔΙΠΟΤΑΜΟΥ
ΔΥΣΒΑΤΟΥ,ΚΑΒΑΛΑΣ,ΔΥΣΒΑΤΟΥ
ΕΛΑΦΟΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΕΛΑΦΟΧΩΡΙΟΥ
ΚΕΧΡΟΚΑΜΠΟΥ,ΚΑΒΑΛΑΣ,ΚΕΧΡΟΚΑΜΠΟΥ
ΛΕΚΑΝΗΣ,ΚΑΒΑΛΑΣ,ΛΕΚΑΝΗΣ
ΜΑΚΡΥΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΜΑΚΡΥΧΩΡΙΟΥ
ΠΛΑΤΑΜΩΝΟΣ,ΚΑΒΑΛΑΣ,ΠΛΑΤΑΜΩΝΟΣ
ΧΡΥΣΟΥΠΟΛΗΣ,ΚΑΒΑΛΑΣ,ΧΡΥΣΟΥΠΟΛΗΣ
ΑΒΡΑΜΥΛΙΑΣ,ΚΑΒΑΛΑΣ,ΑΒΡΑΜΥΛΙΑΣ
ΓΕΡΟΝΤΑ,ΚΑΒΑΛΑΣ,ΓΕΡΟΝΤΑ
ΓΡΑΒΟΥΝΗΣ,ΚΑΒΑΛΑΣ,ΓΡΑΒΟΥΝΗΣ
ΔΙΑΛΕΚΤΟΥ,ΚΑΒΑΛΑΣ,ΔΙΑΛΕΚΤΟΥ
ΕΡΑΤΕΙΝΟΥ,ΚΑΒΑΛΑΣ,ΕΡΑΤΕΙΝΟΥ
ΖΑΡΚΑΔΙΑΣ,ΚΑΒΑΛΑΣ,ΖΑΡΚΑΔΙΑΣ
ΞΕΡΙΑ,ΚΑΒΑΛΑΣ,ΞΕΡΙΑ
ΠΑΡΑΔΕΙΣΟΥ,ΚΑΒΑΛΑΣ,ΠΑΡΑΔΕΙΣΟΥ
ΠΕΡΝΗΣ,ΚΑΒΑΛΑΣ,ΠΕΡΝΗΣ
ΠΕΤΡΟΠΗΓΗΣ,ΚΑΒΑΛΑΣ,ΠΕΤΡΟΠΗΓΗΣ
ΠΟΝΤΟΛΙΒΑΔΟΥ,ΚΑΒΑΛΑΣ,ΠΟΝΤΟΛΙΒΑΔΟΥ
ΧΡΥΣΟΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΧΡΥΣΟΧΩΡΙΟΥ
ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ,ΚΑΒΑΛΑΣ,ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ
ΑΜΙΣΙΑΝΩΝ,ΚΑΒΑΛΑΣ,ΑΜΙΣΙΑΝΩΝ
ΑΝΤΙΦΙΛΙΠΠΩΝ,ΚΑΒΑΛΑΣ,ΑΝΤΙΦΙΛΙΠΠΩΝ
ΚΗΠΙΩΝ,ΚΑΒΑΛΑΣ,ΚΗΠΙΩΝ
ΚΟΚΚΙΝΟΧΩΜΑΤΟΣ,ΚΑΒΑΛΑΣ,ΚΟΚΚΙΝΟΧΩΜΑΤΟΣ
ΧΡΥΣΟΚΑΣΤΡΟΥ,ΚΑΒΑΛΑΣ,ΧΡΥΣΟΚΑΣΤΡΟΥ
ΝΕΑΣ ΠΕΡΑΜΟΥ,ΚΑΒΑΛΑΣ,ΝΕΑΣ ΠΕΡΑΜΟΥ
ΑΓΙΟΥ ΑΝΔΡΕΟΥ,ΚΑΒΑΛΑΣ,ΑΓΙΟΥ ΑΝΔΡΕΟΥ
ΕΛΑΙΟΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΕΛΑΙΟΧΩΡΙΟΥ
ΕΛΕΥΘΕΡΩΝ,ΚΑΒΑΛΑΣ,ΕΛΕΥΘΕΡΩΝ
ΜΥΡΤΟΦΥΤΟΥ,ΚΑΒΑΛΑΣ,ΜΥΡΤΟΦΥΤΟΥ
ΝΕΑΣ ΗΡΑΚΛΙΤΣΗΣ,ΚΑΒΑΛΑΣ,ΝΕΑΣ ΗΡΑΚΛΙΤΣΗΣ
ΦΩΛΕΑΣ,ΚΑΒΑΛΑΣ,ΦΩΛΕΑΣ
ΑΚΡΟΠΟΤΑΜΟΥ,ΚΑΒΑΛΑΣ,ΑΚΡΟΠΟΤΑΜΟΥ
ΓΑΛΗΨΟΥ,ΚΑΒΑΛΑΣ,ΓΑΛΗΨΟΥ
ΚΑΡΙΑΝΗΣ,ΚΑΒΑΛΑΣ,ΚΑΡΙΑΝΗΣ
ΟΡΦΑΝΙΟΥ,ΚΑΒΑΛΑΣ,ΟΡΦΑΝΙΟΥ
ΟΦΡΥΝΙΟΥ,ΚΑΒΑΛΑΣ,ΟΦΡΥΝΙΟΥ
ΠΟΔΟΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΠΟΔΟΧΩΡΙΟΥ
ΝΙΚΗΣΙΑΝΗΣ,ΚΑΒΑΛΑΣ,ΝΙΚΗΣΙΑΝΗΣ
ΓΕΩΡΓΙΑΝΗΣ,ΚΑΒΑΛΑΣ,ΓΕΩΡΓΙΑΝΗΣ
ΠΑΛΑΙΟΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΠΑΛΑΙΟΧΩΡΙΟΥ
ΑΥΛΗΣ,ΚΑΒΑΛΑΣ,ΑΥΛΗΣ
ΔΩΜΑΤΙΩΝ,ΚΑΒΑΛΑΣ,ΔΩΜΑΤΙΩΝ
ΜΕΛΙΣΣΟΚΟΜΕΙΟΥ,ΚΑΒΑΛΑΣ,ΜΕΛΙΣΣΟΚΟΜΕΙΟΥ
ΜΕΣΙΑΣ,ΚΑΒΑΛΑΣ,ΜΕΣΙΑΣ
ΜΕΣΟΡΟΠΗΣ,ΚΑΒΑΛΑΣ,ΜΕΣΟΡΟΠΗΣ
ΜΟΥΣΘΕΝΗΣ,ΚΑΒΑΛΑΣ,ΜΟΥΣΘΕΝΗΣ
ΠΛΑΤΑΝΟΤΟΠΟΥ,ΚΑΒΑΛΑΣ,ΠΛΑΤΑΝΟΤΟΠΟΥ
ΣΙΔΗΡΟΧΩΡΙΟΥ,ΚΑΒΑΛΑΣ,ΣΙΔΗΡΟΧΩΡΙΟΥ
ΑΒΔΗΡΩΝ,ΞΑΝΘΗΣ,ΑΒΔΗΡΩΝ
ΜΑΝΔΡΑΣ,ΞΑΝΘΗΣ,ΜΑΝΔΡΑΣ
ΜΥΡΩΔΑΤΟΥ,ΞΑΝΘΗΣ,ΜΥΡΩΔΑΤΟΥ
ΝΕΑΣ ΚΕΣΣΑΝΗΣ,ΞΑΝΘΗΣ,ΝΕΑΣ ΚΕΣΣΑΝΗΣ
ΓΕΝΙΣΕΑΣ,ΞΑΝΘΗΣ,ΓΕΝΙΣΕΑΣ
